Year,Country,alcoholdrug,demography,gdp,happiness,internet,landarea,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity,suicides
2013,Germany,3.2,81680590.0,43413.0,7.04,84.2,349380.0,80.5,44.2,13.81,13.19,233.78,10893.0
2013,Ghana,1.0,27525586.0,3683.0,3.99,15.0,227540.0,62.4,19.6,11.22,27.82,120.97,2057.0
2013,Greece,2.4,10914501.0,22118.0,5.62,59.9,128900.0,81.0,41.6,15.55,17.78,84.67,538.0
2013,Guatemala,3.9,15422663.0,6829.0,6.46,19.7,107160.0,71.7,19.6,12.75,30.06,143.92,919.0
2013,Guinea,0.7,11055433.0,1421.0,3.5,4.5,245720.0,57.8,16.6,11.74,21.26,44.99,793.0
2013,Haiti,2.2,10261205.0,1722.0,3.57,10.6,27560.0,62.6,21.1,14.76,16.77,372.32,1033.0
2013,Honduras,2.9,8960654.0,4561.0,4.85,17.8,111890.0,72.0,20.6,12.21,27.68,80.08,284.0
2013,Hungary,3.1,9894637.0,21126.0,5.34,72.6,91260.0,75.7,40.2,10.56,17.23,108.42,2173.0
2013,Iceland,3.2,324036.0,38258.0,7.5,96.5,100830.0,81.9,34.6,13.27,7.17,3.21,45.0
2013,India,1.7,1291132000.0,5172.0,4.34,12.3,2973190.0,68.5,24.9,13.64,91.8,434.26,175414.0
2013,Indonesia,0.9,253275920.0,9703.0,5.04,14.9,1877519.0,69.3,27.5,10.3,16.88,134.9,6189.0
2013,Iran,1.1,78458930.0,16248.0,4.75,30.0,1628760.0,74.4,28.0,18.43,38.1,48.36,5053.0
2013,Iraq,0.8,35481804.0,13158.0,4.49,9.2,434128.0,68.3,18.3,14.19,63.8,81.73,1402.0
2013,Ireland,4.8,4588830.0,48743.0,6.83,78.2,68890.0,81.0,34.6,16.09,9.36,66.61,525.0
2013,Israel,1.7,7726675.0,30257.0,7.08,70.3,21640.0,82.1,28.7,13.52,22.95,357.06,402.0
2013,Italy,2.7,60312600.0,33094.0,5.85,58.5,297730.0,82.7,43.6,13.88,17.76,203.95,4533.0
2013,Jamaica,2.2,2773134.0,7017.0,5.31,37.1,10830.0,73.4,26.8,13.3,14.93,256.06,58.0
2013,Japan,1.4,127678920.0,36354.0,5.88,88.2,364500.0,83.4,45.1,9.77,13.36,350.29,27424.0
2013,Jordan,0.8,7694818.0,11488.0,5.4,41.4,88780.0,74.6,21.0,14.17,33.42,86.66,124.0
2013,Kazakhstan,4.5,17345734.0,23131.0,5.95,63.3,2699700.0,69.8,28.3,9.99,14.6,6.43,4483.0
2013,Kenya,1.0,44792370.0,2854.0,4.36,13.0,569140.0,61.4,17.5,12.07,28.94,78.7,2681.0
2013,Kuwait,0.9,3646520.0,75256.0,6.15,75.5,17820.0,79.2,31.3,12.94,62.61,204.63,85.0
2013,Kyrgyzstan,3.6,5719561.0,4509.0,4.91,23.0,191800.0,69.2,22.9,10.77,25.44,29.82,599.0
2013,Laos,1.3,6600736.0,4961.0,4.62,12.5,230800.0,65.7,21.3,11.73,30.26,28.6,371.0
2013,Latvia,3.5,2031491.0,20129.0,5.88,75.2,62090.0,74.2,41.4,11.72,14.88,32.64,422.0
2013,Lebanon,1.1,5678859.0,15055.0,5.17,70.5,10230.0,78.8,28.2,16.24,30.59,555.12,174.0
2013,Lesotho,2.8,2073948.0,2559.0,3.81,15.0,30360.0,49.0,20.6,12.8,32.15,68.31,1778.0
2013,Liberia,0.9,4427319.0,900.0,2.7,3.2,96320.0,59.9,17.5,12.65,15.38,45.96,208.0
2013,Libya,1.3,5985228.0,13326.0,5.62,16.5,1759540.0,72.3,24.7,14.36,49.28,3.4,304.0
2013,Lithuania,3.0,3028191.0,22274.0,5.71,68.5,62630.0,74.3,41.3,12.48,12.98,48.36,1217.0
2013,Luxembourg,3.8,543068.0,53411.0,6.7,93.8,2430.0,81.4,38.1,13.56,11.61,210.94,61.0
2013,Madagascar,1.6,23588078.0,1345.0,3.59,3.0,581800.0,64.0,17.5,12.69,23.91,40.54,1277.0
2013,Malawi,1.8,16024775.0,1104.0,3.87,5.1,94280.0,59.7,15.6,12.14,24.68,169.97,1017.0
2013,Malaysia,1.1,30134806.0,20760.0,6.32,57.1,328550.0,75.0,26.4,11.49,17.55,91.72,1288.0
2013,Mali,0.7,17004038.0,1443.0,4.58,3.5,1220190.0,57.4,14.9,10.32,32.31,13.94,734.0
2013,Malta,2.8,437531.0,25162.0,6.61,68.9,320.0,82.0,39.4,14.24,15.28,1367.28,29.0
