Year,Country,alcoholdrug,demography,gdp,happiness,internet,landarea,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity,suicides
2010,Afghanistan,1.0,28189672.0,1628.0,3.78,4.0,652860.0,60.9,14.4,16.88,65.25,43.22,1245.0
2010,Albania,2.2,2913402.0,9223.0,5.51,45.0,27400.0,77.9,32.3,10.85,21.28,106.33,231.0
2010,Algeria,0.9,35856348.0,12588.0,5.6,12.5,2381741.0,73.8,25.1,13.94,33.64,15.05,1089.0
2010,Angola,1.4,23364196.0,7521.0,4.36,2.8,1246700.0,56.7,16.0,13.2,33.79,18.74,1629.0
2010,Argentina,2.9,41100124.0,18980.0,6.47,45.0,2736690.0,75.7,28.9,12.6,16.86,15.02,3495.0
2010,Armenia,2.7,2946296.0,8331.0,4.32,25.0,28470.0,73.2,31.2,10.67,37.53,103.49,194.0
2010,Australia,4.2,22019166.0,45400.0,7.2,76.0,7692020.0,82.1,36.1,17.58,10.62,2.86,2589.0
2010,Austria,4.2,8362829.0,40288.0,7.4,75.2,82520.0,80.5,40.8,14.31,15.15,101.34,1355.0
2010,Azerbaijan,3.1,9237203.0,16154.0,4.91,46.0,82654.0,69.5,27.2,9.88,23.05,111.77,411.0
2010,Bahrain,0.9,1213655.0,34058.0,5.03,55.0,780.0,78.7,29.0,14.12,65.63,1546.06,102.0
2010,Bangladesh,1.5,148391140.0,2599.0,4.72,3.7,130170.0,68.6,22.2,11.84,70.76,1139.98,6459.0
2010,Belarus,3.7,9731426.0,17172.0,5.75,31.8,202980.0,71.1,38.1,11.89,23.32,47.94,3382.0
2010,Belgium,3.6,10877948.0,37739.0,6.94,75.0,30280.0,80.0,40.0,13.67,16.01,359.25,2244.0
2010,Benin,0.9,9445716.0,1855.0,3.19,3.1,112760.0,58.4,16.8,11.65,32.39,83.77,774.0
2010,Bolivia,1.9,10223277.0,5142.0,6.02,22.4,1083300.0,66.2,21.2,14.52,29.57,9.44,607.0
2010,Bosnia and Herzegovina,2.4,3811093.0,8982.0,4.77,42.8,51200.0,77.1,37.5,10.92,32.3,74.44,390.0
2010,Botswana,2.6,2091666.0,12545.0,4.84,6.0,566730.0,60.0,21.1,11.34,25.72,3.69,485.0
2010,Brazil,4.2,196353500.0,14216.0,6.66,40.7,8358140.0,73.2,28.2,16.86,15.96,23.49,9756.0
2010,Bulgaria,2.6,7592271.0,14686.0,4.22,46.2,108560.0,73.8,41.0,10.56,22.76,69.94,917.0
2010,Burkina Faso,0.8,16116851.0,1326.0,3.96,2.4,273600.0,56.5,16.0,11.61,37.49,58.91,1253.0
2010,Burundi,1.7,9126612.0,718.0,3.71,1.0,25680.0,57.1,16.5,12.88,38.38,355.4,660.0
2010,Cambodia,1.2,14363534.0,2427.0,3.9,1.3,176520.0,67.7,22.1,12.43,31.34,81.37,768.0
2010,Cameroon,1.0,19878044.0,2420.0,4.24,4.3,472710.0,56.6,16.8,11.67,59.29,42.05,2198.0
2010,Canada,4.4,33963416.0,41209.0,7.42,80.3,8965590.0,81.3,38.7,13.38,8.38,3.79,4116.0
2010,Central African Republic,1.5,4660066.0,910.0,3.68,2.0,622980.0,49.3,15.7,14.22,51.53,7.48,691.0
2010,Chad,0.8,11894734.0,1720.0,4.03,1.7,1259200.0,49.6,14.6,12.59,56.59,9.45,918.0
2010,Chile,4.0,17004166.0,18910.0,6.6,45.0,743532.0,78.5,31.6,14.14,25.89,22.87,1981.0
2010,China,1.8,1348191400.0,9658.0,5.09,34.3,9424703.0,75.6,34.1,10.72,69.48,143.6,140897.0
2010,Colombia,3.0,44816104.0,11192.0,6.37,36.5,1109500.0,75.0,26.4,10.83,21.5,40.39,1733.0
2010,Comoros,1.6,656032.0,1433.0,3.96,5.1,1861.0,61.1,17.5,11.69,20.67,352.52,38.0
2010,Congo,1.6,4437883.0,5738.0,3.92,5.0,341500.0,61.7,18.7,12.97,42.01,13.0,385.0
2010,Costa Rica,2.5,4622250.0,12032.0,7.27,36.5,51060.0,78.7,28.1,12.15,19.27,90.53,316.0
2010,Cote d'Ivoire,0.9,21120040.0,2555.0,3.74,2.7,318000.0,55.0,16.7,10.95,21.62,66.42,2333.0
2010,Croatia,3.1,4368680.0,19511.0,6.03,56.5,56590.0,76.8,40.8,10.86,21.33,78.07,794.0
2010,Cyprus,2.4,1129693.0,27630.0,6.18,53.0,9240.0,79.7,32.9,14.35,20.08,122.26,59.0
2010,Czechia,3.6,10464750.0,25922.0,6.33,68.8,77200.0,77.6,38.7,10.42,20.68,135.56,1585.0
2010,Democratic Republic of Congo,1.3,66391260.0,637.0,4.64,0.7,2267050.0,56.4,15.7,13.79,41.4,29.29,4640.0
2010,Denmark,4.2,5550850.0,42932.0,7.52,88.7,40000.0,79.2,39.6,12.71,11.93,138.77,655.0
2010,Djibouti,1.8,919206.0,2544.0,4.37,6.5,23180.0,60.3,20.8,11.64,38.24,39.66,69.0
2010,Dominican Republic,2.0,9775756.0,11276.0,4.75,31.4,48310.0,72.1,23.9,14.44,16.87,202.35,457.0
2010,Ecuador,1.8,14989581.0,9327.0,5.96,29.0,248360.0,75.4,23.8,13.8,19.98,60.35,1489.0
2010,Egypt,0.7,87252420.0,10719.0,4.2,21.6,995450.0,69.7,22.4,13.88,77.45,87.65,2659.0
2010,El Salvador,4.1,6114039.0,7351.0,5.93,15.9,20720.0,71.8,22.7,12.62,30.46,295.08,378.0
2010,Estonia,3.6,1331535.0,20713.0,5.36,74.1,43470.0,75.7,39.3,11.51,8.52,31.15,250.0
2010,Eswatini,3.0,1099926.0,7193.0,4.87,11.0,17200.0,46.6,18.4,11.51,18.13,63.95,537.0
2010,Ethiopia,2.9,89237800.0,1106.0,4.56,0.8,1129300.38,59.7,16.1,12.64,35.63,79.07,6181.0
2010,Finland,3.6,5363279.0,37615.0,7.42,86.9,303920.0,80.0,41.0,13.91,7.19,17.65,997.0
2010,France,3.5,62444570.0,36087.0,6.65,77.3,547557.0,81.4,39.1,15.32,14.85,114.04,11469.0
2010,Gabon,1.6,1711117.0,14927.0,3.97,13.0,257670.0,63.9,20.1,12.86,40.28,6.64,164.0
2010,Gambia,0.8,1937284.0,1773.0,4.12,9.2,10120.0,60.7,15.9,12.65,30.2,191.43,95.0
2010,Georgia,2.7,3836834.0,8443.0,4.25,26.9,69490.0,72.1,34.6,10.5,26.1,55.21,340.0
2010,Germany,3.3,81325090.0,41110.0,6.7,82.0,349380.0,80.1,43.2,13.79,15.19,232.76,10701.0
2010,Ghana,1.0,25574722.0,2946.0,5.06,7.8,227540.0,61.2,19.2,11.26,27.37,112.4,1939.0
2010,Greece,2.5,11033784.0,26517.0,5.1,44.4,128900.0,80.5,40.5,15.94,19.06,85.6,379.0
2010,Guatemala,4.0,14543126.0,6526.0,5.86,10.5,107160.0,70.9,18.7,12.92,29.98,135.71,1067.0
2010,Guinea,0.7,10270728.0,1292.0,3.65,1.0,245720.0,56.7,16.3,11.75,21.97,41.8,690.0
2010,Haiti,2.2,9842883.0,1557.0,4.41,8.4,27560.0,46.0,20.4,14.71,17.8,357.14,1088.0
2010,Honduras,2.9,8450936.0,4306.0,4.6,11.1,111890.0,71.1,19.6,12.2,26.88,75.53,164.0
2010,Hungary,3.2,9986832.0,20036.0,4.68,65.0,91260.0,74.5,38.9,10.61,19.14,109.43,2533.0
2010,Iceland,3.2,318346.0,36273.0,7.59,93.4,100830.0,81.7,33.9,13.23,7.86,3.16,41.0
2010,India,1.8,1240613600.0,4526.0,4.72,7.5,2973190.0,66.9,24.0,13.64,95.76,417.27,180724.0
2010,Indonesia,0.9,244016180.0,8386.0,5.37,10.9,1877519.0,68.7,26.7,10.36,18.17,129.97,6381.0
2010,Iran,1.1,75373864.0,17751.0,4.61,15.9,1628760.0,73.1,26.4,18.34,38.65,46.46,4657.0
2010,Iraq,0.8,31264880.0,10274.0,4.66,2.5,434128.0,67.1,18.0,13.88,68.71,72.02,1156.0
2010,Ireland,4.9,4524581.0,48624.0,6.96,69.8,68890.0,80.5,33.3,16.12,9.98,65.68,543.0
2010,Israel,1.8,7328439.0,28576.0,7.11,67.5,21640.0,81.7,28.4,13.74,24.02,338.65,490.0
2010,Italy,2.9,59822452.0,34766.0,5.84,53.7,297730.0,82.1,42.5,13.74,19.03,202.3,4084.0
2010,Jamaica,2.2,2733904.0,7026.0,5.71,27.7,10830.0,72.6,25.4,13.2,16.09,252.44,54.0
2010,Japan,1.4,128105430.0,35011.0,5.97,78.2,364500.0,82.9,44.2,9.86,14.14,351.46,30994.0
2010,Jordan,0.8,6931263.0,11601.0,5.13,27.2,88780.0,74.0,20.4,14.23,33.55,78.06,111.0
2010,Kazakhstan,4.8,16627839.0,19965.0,5.76,31.6,2699700.0,68.1,28.0,10.03,15.91,6.16,4866.0
2010,Kenya,1.0,41517896.0,2580.0,4.55,7.2,569140.0,60.6,17.0,12.19,28.15,72.95,2501.0
2010,Kuwait,0.9,2943364.0,68865.0,6.22,61.4,17820.0,78.0,28.6,12.82,62.74,165.17,73.0
2010,Kyrgyzstan,3.9,5483781.0,3978.0,5.21,16.3,191800.0,68.3,22.6,10.86,27.27,28.59,617.0
2010,Laos,1.3,6323425.0,4114.0,4.88,7.0,230800.0,64.0,20.2,11.82,31.73,27.4,375.0
2010,Latvia,3.5,2101537.0,17140.0,5.13,68.4,62090.0,73.0,40.3,11.77,17.12,33.77,477.0
2010,Lebanon,1.1,4995799.0,15622.0,4.57,43.7,10230.0,78.2,27.1,16.34,30.89,488.35,149.0
2010,Lesotho,2.8,2022752.0,2314.0,4.9,3.9,30360.0,45.6,20.0,12.79,32.24,66.63,1306.0
2010,Liberia,0.9,4019958.0,854.0,4.57,2.3,96320.0,59.4,17.3,12.7,15.25,41.74,190.0
2010,Libya,1.2,6491991.0,29157.0,5.75,14.0,1759540.0,72.4,24.3,14.2,50.15,3.69,346.0
2010,Lithuania,2.9,3139021.0,18664.0,5.77,62.1,62630.0,73.4,40.0,12.62,14.97,50.13,1163.0
2010,Luxembourg,3.8,507075.0,54086.0,6.96,90.6,2430.0,80.6,38.0,13.57,12.96,196.96,61.0
2010,Madagascar,1.6,21731052.0,1350.0,3.55,1.7,581800.0,62.9,17.0,12.69,22.66,37.35,1199.0
2010,Malawi,1.8,14718426.0,1092.0,4.28,2.3,94280.0,56.4,15.6,12.14,25.7,156.11,1185.0
2010,Malaysia,1.1,28717728.0,18574.0,5.91,56.3,328550.0,74.4,25.1,11.42,18.59,87.41,1271.0
2010,Mali,0.7,15529183.0,1505.0,4.31,2.0,1220190.0,56.4,15.3,10.27,36.4,12.73,672.0
2010,Malta,2.9,418758.0,23633.0,5.96,63.0,320.0,81.8,39.2,14.19,16.45,1308.62,31.0
2010,Mauritania,0.8,3419462.0,2983.0,4.67,4.0,1030700.0,63.1,17.0,10.21,39.64,3.32,108.0
2010,Mauritius,1.9,1283347.0,16269.0,5.48,28.3,2030.0,74.0,31.6,11.81,15.19,632.19,97.0
2010,Mexico,2.0,112532400.0,14697.0,7.32,31.0,1943950.0,74.2,24.9,11.6,26.37,57.89,5149.0
2010,Moldova,2.7,3678186.0,4615.0,6.0,32.3,32885.3,69.4,33.2,12.24,19.12,111.85,839.0
2010,Mongolia,4.7,2702527.0,7830.0,4.89,10.2,1557255.0,67.2,24.4,10.72,43.3,1.74,635.0
2010,Montenegro,2.6,631048.0,14510.0,5.22,37.5,13450.0,76.1,35.2,10.91,25.06,46.92,127.0
2010,Morocco,0.9,32464866.0,6932.0,4.97,52.0,446300.0,70.8,24.9,15.23,29.65,72.74,2958.0
2010,Mozambique,1.9,23073732.0,957.0,4.97,4.2,786380.0,54.2,16.0,13.21,23.56,29.34,3506.0
2010,Myanmar,1.3,49390988.0,3773.0,4.44,0.3,652790.0,63.3,25.7,10.94,44.06,75.68,1755.0
2010,Namibia,2.9,2099275.0,7906.0,4.57,11.6,823290.0,56.0,19.3,10.65,27.66,2.55,273.0
2010,Nepal,1.6,27161572.0,2152.0,4.23,7.9,143350.0,66.8,20.2,13.85,100.78,189.48,2345.0
2010,Netherlands,2.6,16617121.0,43812.0,7.47,90.7,33670.0,80.8,39.8,14.67,15.23,493.53,1636.0
2010,New Zealand,4.0,4346345.0,31586.0,7.25,80.5,263310.0,81.1,35.9,17.06,7.15,16.51,552.0
