Year,Country,alcoholdrug,demography,gdp,happiness,internet,landarea,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity,suicides
2011,Afghanistan,1.0,29249156.0,1792.0,3.57,5.0,652860.0,61.4,14.7,16.79,66.84,44.84,1241.0
2011,Albania,2.2,2900660.0,9484.0,4.55,47.0,27400.0,78.1,32.8,10.84,22.77,105.86,231.0
2011,Algeria,0.9,36543548.0,13204.0,6.35,14.9,2381741.0,74.1,25.4,13.93,33.83,15.34,1081.0
2011,Angola,1.4,24259120.0,8016.0,3.94,4.7,1246700.0,57.6,16.0,13.18,33.1,19.46,1593.0
2011,Argentina,2.9,41520736.0,20003.0,6.58,51.0,2736690.0,76.1,29.1,12.61,17.38,15.17,3524.0
2011,Armenia,2.6,2928984.0,8465.0,4.28,32.0,28470.0,73.3,31.4,10.66,38.61,102.88,196.0
2011,Australia,4.2,22357032.0,46132.0,7.36,79.5,7692020.0,82.1,36.2,17.55,11.05,2.91,2529.0
2011,Austria,4.1,8391201.0,41446.0,7.5,78.7,82520.0,80.8,41.2,14.32,15.57,101.69,1391.0
2011,Azerbaijan,3.1,9359018.0,16176.0,5.48,50.0,82654.0,70.0,27.5,9.85,23.63,113.24,411.0
2011,Bahrain,0.9,1212086.0,36372.0,6.69,77.0,780.0,78.9,29.1,14.09,63.73,1544.06,101.0
2011,Bangladesh,1.5,150211000.0,2772.0,4.66,4.5,130170.0,68.8,22.6,11.78,70.21,1153.96,5906.0
2011,Belarus,3.7,9706983.0,17918.0,5.88,39.6,202980.0,71.5,38.3,11.85,22.91,47.82,3412.0
2011,Belgium,3.6,10955742.0,38130.0,7.1,81.6,30280.0,80.4,40.1,13.68,15.7,361.81,2327.0
2011,Benin,0.9,9726385.0,1836.0,3.48,4.1,112760.0,58.5,16.9,11.65,32.58,86.26,799.0
2011,Bolivia,1.9,10396249.0,5331.0,5.77,30.0,1083300.0,66.5,21.5,14.51,27.9,9.6,624.0
2011,Bosnia and Herzegovina,2.4,3743143.0,8961.0,5.12,43.9,51200.0,77.0,37.9,10.89,34.19,73.11,389.0
2011,Botswana,2.6,2134043.0,13376.0,4.13,9.0,566730.0,60.5,21.3,11.34,24.59,3.77,457.0
2011,Brazil,4.2,198185300.0,14831.0,7.14,45.7,8358140.0,73.3,28.6,16.73,15.91,23.71,10333.0
2011,Bulgaria,2.6,7543128.0,15112.0,3.99,48.0,108560.0,74.2,41.3,10.53,24.3,69.48,812.0
2011,Burkina Faso,0.8,16602652.0,1344.0,3.33,3.0,273600.0,57.1,15.9,11.63,37.28,60.68,1264.0
2011,Burundi,1.7,9455737.0,719.0,2.9,1.1,25680.0,57.8,16.3,12.86,38.24,368.21,662.0
2011,Cambodia,1.2,14573894.0,2496.0,3.67,3.1,176520.0,68.4,22.5,12.37,30.92,82.56,767.0
2011,Cameroon,1.0,20448880.0,2494.0,4.27,5.0,472710.0,57.1,16.8,11.66,58.08,43.26,2252.0
2011,Canada,4.4,34323536.0,42197.0,7.59,83.0,8965590.0,81.5,38.9,13.4,8.62,3.83,3892.0
2011,Central African Republic,1.5,4732037.0,909.0,3.68,2.2,622980.0,49.9,15.5,14.23,51.23,7.6,680.0
2011,Chad,0.8,12317729.0,1661.0,3.51,1.9,1259200.0,50.0,14.6,12.57,55.2,9.78,947.0
2011,Chile,4.0,17173568.0,19705.0,6.74,52.2,743532.0,79.1,32.0,14.14,27.25,23.1,2012.0
2011,China,1.8,1357095400.0,10221.0,5.24,38.3,9424703.0,75.9,34.5,10.69,70.54,144.55,132888.0
2011,Colombia,3.0,45308896.0,11788.0,6.61,40.4,1109500.0,75.3,26.8,10.8,21.37,40.84,1677.0
2011,Comoros,1.6,670081.0,1479.0,3.96,5.5,1861.0,61.5,17.7,11.7,21.02,360.07,36.0
2011,Congo,1.6,4584223.0,5875.0,3.95,5.6,341500.0,62.0,18.6,12.93,44.16,13.42,381.0
2011,Costa Rica,2.5,4679927.0,12366.0,7.16,39.2,51060.0,79.3,28.5,12.16,19.7,91.66,319.0
2011,Cote d'Ivoire,0.9,21562916.0,2444.0,3.74,2.9,318000.0,55.5,16.8,10.96,22.59,67.81,2340.0
2011,Croatia,3.1,4351838.0,19813.0,5.89,57.8,56590.0,77.2,41.1,10.85,21.97,77.77,709.0
2011,Cyprus,2.4,1145090.0,27272.0,5.44,56.9,9240.0,80.0,33.2,14.36,20.09,123.93,48.0
2011,Czechia,3.6,10496379.0,26725.0,6.7,70.5,77200.0,77.8,38.9,10.41,20.08,135.97,1697.0
2011,Democratic Republic of Congo,1.3,68654270.0,681.0,4.5,1.2,2267050.0,57.1,15.7,13.77,41.49,30.28,4741.0
2011,Denmark,4.2,5576016.0,43575.0,7.59,89.8,40000.0,79.8,39.7,12.71,12.66,139.4,702.0
2011,Djibouti,1.8,936819.0,2590.0,4.37,7.0,23180.0,60.4,21.1,11.63,40.44,40.41,72.0
2011,Dominican Republic,2.0,9903743.0,11679.0,5.02,38.0,48310.0,72.2,24.2,14.42,17.3,205.0,479.0
2011,Ecuador,1.8,15237734.0,9985.0,6.02,31.4,248360.0,75.7,24.1,13.81,19.32,61.35,1492.0
2011,Egypt,0.7,89200056.0,10737.0,3.56,25.6,995450.0,69.9,22.6,13.88,70.79,89.61,2798.0
2011,El Salvador,4.1,6137354.0,7607.0,6.33,18.9,20720.0,71.9,22.9,12.61,33.63,296.2,498.0
2011,Estonia,3.6,1327435.0,21997.0,5.37,76.5,43470.0,76.5,39.5,11.46,8.44,31.05,242.0
2011,Eswatini,3.0,1105379.0,7389.0,4.87,18.1,17200.0,48.2,18.7,11.51,17.97,64.27,504.0
2011,Ethiopia,2.9,91817940.0,1199.0,4.44,1.1,1129300.38,60.7,16.3,12.57,36.32,81.36,6012.0
2011,Finland,3.5,5388173.0,38432.0,7.44,88.7,303920.0,80.4,41.2,13.88,7.28,17.73,967.0
2011,France,3.5,62775270.0,36691.0,6.67,77.8,547557.0,81.8,39.4,15.3,14.88,114.65,11389.0
2011,Gabon,1.6,1772508.0,16403.0,3.8,18.0,257670.0,64.0,20.3,12.86,41.13,6.88,169.0
2011,Gambia,0.8,1998215.0,1669.0,4.12,10.9,10120.0,61.5,15.9,12.65,29.26,197.45,100.0
2011,Georgia,2.7,3821667.0,8946.0,4.35,31.5,69490.0,72.4,35.0,10.48,26.78,55.0,353.0
2011,Germany,3.3,81423384.0,43189.0,6.97,81.3,349380.0,80.4,43.6,13.79,14.66,233.04,10689.0
2011,Ghana,1.0,26205940.0,3283.0,4.97,9.0,227540.0,61.7,19.3,11.25,28.21,115.17,1981.0
2011,Greece,2.5,11004730.0,24349.0,4.72,51.6,128900.0,80.5,40.9,15.88,20.0,85.37,473.0
2011,Guatemala,4.0,14833458.0,6650.0,5.98,12.3,107160.0,71.2,19.0,12.88,31.73,138.42,982.0
2011,Guinea,0.7,10527711.0,1347.0,3.9,2.0,245720.0,57.0,16.4,11.75,22.45,42.84,729.0
2011,Haiti,2.2,9954318.0,1648.0,4.62,9.0,27560.0,61.6,20.6,14.72,18.76,361.19,1023.0
2011,Honduras,2.9,8622510.0,4421.0,4.71,15.9,111890.0,71.4,19.9,12.2,28.9,77.06,162.0
2011,Hungary,3.1,9953247.0,20886.0,4.91,68.0,91260.0,74.9,39.4,10.6,19.36,109.06,2488.0
2011,Iceland,3.2,319308.0,36740.0,7.5,94.8,100830.0,82.2,34.2,13.24,8.1,3.17,38.0
2011,India,1.8,1257621200.0,4768.0,4.43,10.1,2973190.0,67.4,24.3,13.64,97.6,422.99,183284.0
2011,Indonesia,0.9,247099700.0,8849.0,5.29,12.3,1877519.0,68.8,27.0,10.34,18.05,131.61,6346.0
2011,Iran,1.1,76342970.0,18024.0,5.14,19.0,1628760.0,73.7,27.0,18.36,38.05,47.05,5040.0
