Year,alcoholdrug,gdp,happiness,internet,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity
2017,1.3,13008.0,5.33,17.8,72.5,25.4,14.62,54.25,3.62
2017,3.1,26157.0,6.06,77.6,75.4,42.7,12.35,11.85,46.38
2017,3.7,56780.0,7.4,97.4,81.7,38.4,13.52,10.36,231.62
2017,1.6,1400.0,4.34,9.8,65.1,18.3,12.7,22.54,44.98
2017,1.8,1119.0,3.87,7.0,63.0,16.0,12.15,23.57,189.66
2017,1.1,24041.0,5.43,80.1,75.5,28.1,11.52,16.04,97.32
2017,0.7,1629.0,4.99,18.9,59.1,14.8,10.36,38.53,15.83
2017,2.8,30902.0,6.73,81.0,83.6,39.1,14.2,13.91,1498.46
2017,0.8,3431.0,4.15,24.2,65.1,17.1,10.28,47.42,4.04
2017,1.9,19522.0,6.24,55.4,74.9,35.1,11.42,14.46,637.8
2017,1.9,16309.0,6.43,63.9,74.1,27.5,11.5,20.92,63.19
2017,2.7,6419.0,5.8,76.1,70.5,35.1,12.02,16.25,96.72
2017,4.7,12768.0,5.56,23.7,70.2,26.2,10.72,40.11,1.99
2017,2.6,18569.0,5.39,71.3,76.9,37.1,10.82,20.78,47.02
2017,0.9,8291.0,5.06,61.8,73.7,27.3,15.04,32.59,79.61
2017,1.9,1125.0,4.93,7.8,59.8,16.4,13.09,21.3,36.33
2017,1.3,5536.0,4.43,23.6,65.8,27.9,10.6,35.56,80.11
2017,2.7,9188.0,4.44,36.8,62.3,20.8,10.74,25.36,2.87
2017,1.6,2600.0,5.45,24.3,68.9,22.1,13.37,99.73,196.61
2017,2.8,46651.0,7.43,93.2,81.7,41.5,15.02,12.03,511.05
2017,5.1,34876.0,7.21,87.7,82.2,36.1,17.14,5.96,18.03
2017,3.0,5214.0,6.11,30.4,73.6,23.2,12.56,17.61,53.85
2017,0.7,935.0,5.0,10.2,62.2,14.4,11.44,94.05,17.16
2017,0.8,5271.0,4.36,28.0,52.3,16.7,10.58,71.8,212.45
2017,2.2,12753.0,5.02,74.5,76.5,36.8,10.57,29.73,83.74
2017,2.6,84056.0,7.44,96.4,82.6,38.4,14.84,6.96,14.49
2017,1.9,5392.0,4.44,13.8,66.3,19.5,12.44,58.28,280.69
2017,2.2,22207.0,6.09,60.0,77.8,27.8,11.48,11.4,55.22
2017,3.3,9114.0,5.65,61.1,73.6,24.4,15.02,11.91,16.0
2017,1.7,11953.0,6.0,50.5,75.9,27.2,13.13,24.79,24.69
2017,1.3,7781.0,6.27,41.6,71.5,23.5,11.5,18.07,357.98
2017,4.0,26061.0,6.24,76.0,77.7,39.4,9.62,20.88,125.87
2017,4.0,26299.0,6.1,73.8,81.5,43.6,16.8,8.16,112.52
2017,0.9,154669.0,6.37,97.4,80.7,30.5,12.73,91.19,236.01
2017,2.5,19158.0,6.13,63.7,76.0,40.6,10.39,14.61,85.62
2017,4.0,24043.0,5.44,76.0,73.4,37.9,10.54,16.16,8.88
2017,3.6,1819.0,3.27,21.8,65.9,18.4,12.72,43.21,495.76
2017,0.9,50002.0,6.56,94.2,77.2,28.8,13.02,87.95,15.91
2017,0.8,2520.0,5.49,29.6,67.8,17.3,10.78,40.7,78.73
2017,2.5,13489.0,6.24,70.3,76.2,42.1,10.65,24.73,85.35
2017,0.8,1644.0,3.45,13.2,58.7,18.0,12.17,21.63,106.37
2017,3.1,26096.0,6.24,81.6,77.2,39.0,10.43,17.56,113.13
2017,3.4,28190.0,6.67,78.9,81.1,42.1,10.76,16.02,104.21
2017,2.8,12189.0,5.03,56.2,65.4,26.0,11.65,25.1,46.69
2017,3.3,30908.0,6.46,84.6,83.0,42.4,17.03,9.7,93.25
2017,1.5,11418.0,4.21,21.3,75.4,31.4,10.9,11.1,347.67
2017,3.2,45193.0,7.4,93.0,82.4,39.7,14.05,6.18,24.7
2017,4.2,60171.0,7.69,89.7,83.4,41.4,15.49,10.3,213.88
2017,0.8,3241.0,3.46,32.7,68.5,18.4,15.27,43.76,103.38
2017,2.8,4205.0,5.46,22.0,69.9,20.9,10.47,46.15,64.31
2017,1.8,2763.0,3.64,16.0,66.0,16.4,12.28,29.08,63.52
2017,2.0,16032.0,6.02,52.9,78.4,37.4,11.48,26.26,138.77
2017,0.8,1418.0,4.18,12.4,60.2,18.3,12.12,35.73,144.38
2017,2.3,28557.0,6.19,70.6,74.2,33.6,13.78,24.11,288.23
2017,0.9,11168.0,4.32,55.5,75.8,30.3,15.11,37.66,76.03
2017,0.9,18996.0,4.87,64.7,77.1,29.4,13.72,44.31,106.66
2017,3.2,25070.0,5.47,21.3,68.9,24.9,9.91,21.77,12.7
2017,1.3,1992.0,4.95,8.1,62.1,15.0,14.4,50.49,200.12
2017,3.3,9484.0,4.7,58.9,74.7,39.6,11.49,20.31,77.08
2017,1.3,76644.0,6.71,94.8,79.5,30.3,11.84,40.92,127.69
2017,5.5,37783.0,7.16,90.4,81.2,39.1,13.79,10.47,273.07
2017,6.0,54008.0,6.94,87.3,78.8,36.9,15.22,7.41,36.05
2017,3.1,19918.0,6.6,70.3,77.6,34.3,13.08,9.27,19.55
2017,2.3,10744.0,6.15,48.7,71.0,25.7,10.03,28.46,72.5
2017,1.9,12879.0,5.08,61.6,71.9,26.8,12.96,17.01,34.65
2017,1.8,6422.0,5.47,58.1,74.0,30.5,9.15,29.63,300.01
2017,0.7,2322.0,4.2,26.7,66.0,18.0,15.6,50.46,56.89
2017,1.8,3498.0,3.31,12.2,62.1,16.3,11.9,27.44,23.27
2017,2.2,1582.0,2.69,24.4,60.7,17.3,10.69,22.25,38.13
