alcoholdrug,gdp,happiness,internet,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity
0.7,1505.0,4.31,2.0,56.4,15.3,10.27,36.4,12.73
2.9,23633.0,5.96,63.0,81.8,39.2,14.19,16.45,1308.62
0.8,2983.0,4.67,4.0,63.1,17.0,10.21,39.64,3.32
1.9,16269.0,5.48,28.3,74.0,31.6,11.81,15.19,632.19
2.0,14697.0,7.32,31.0,74.2,24.9,11.6,26.37,57.89
2.7,4615.0,6.0,32.3,69.4,33.2,12.24,19.12,111.85
4.7,7830.0,4.89,10.2,67.2,24.4,10.72,43.3,1.74
2.6,14510.0,5.22,37.5,76.1,35.2,10.91,25.06,46.92
0.9,6932.0,4.97,52.0,70.8,24.9,15.23,29.65,72.74
1.9,957.0,4.97,4.2,54.2,16.0,13.21,23.56,29.34
1.3,3773.0,4.44,0.3,63.3,25.7,10.94,44.06,75.68
2.9,7906.0,4.57,11.6,56.0,19.3,10.65,27.66,2.55
1.6,2152.0,4.23,7.9,66.8,20.2,13.85,100.78,189.48
2.6,43812.0,7.47,90.7,80.8,39.8,14.67,15.23,493.53
4.0,31586.0,7.25,80.5,81.1,35.9,17.06,7.15,16.51
3.2,3917.0,5.45,10.0,72.0,20.9,12.58,22.49,48.66
0.8,810.0,3.8,0.8,58.4,14.4,11.39,69.15,13.14
0.8,4905.0,5.49,11.5,50.9,16.7,11.18,52.61,176.72
2.3,11038.0,4.64,51.9,75.1,34.5,10.67,34.46,83.02
2.6,78476.0,7.68,93.4,81.0,37.7,14.7,8.34,13.42
0.8,46182.0,6.85,35.8,76.3,24.4,13.19,37.52,9.31
1.9,4354.0,5.13,8.0,64.4,18.8,12.32,68.01,252.25
2.3,15169.0,6.86,40.1,76.4,25.9,11.42,14.14,48.85
3.3,7139.0,5.82,19.8,71.9,22.0,14.85,15.1,14.52
1.9,9508.0,5.82,34.8,73.7,25.0,13.11,31.5,22.84
1.3,5694.0,5.0,25.0,70.8,21.8,11.69,23.59,317.39
3.9,20609.0,5.88,62.3,76.3,36.9,9.73,27.18,126.08
4.1,25463.0,4.99,53.3,80.0,40.5,17.2,10.08,115.59
0.9,134803.0,6.61,69.0,78.4,30.0,12.75,84.12,149.13
2.5,16377.0,5.17,39.9,74.0,38.3,10.41,17.06,88.38
4.6,21737.0,5.62,49.0,69.4,36.9,10.53,19.48,8.75
3.5,1416.0,3.33,8.0,62.5,17.6,12.89,41.44,417.88
0.8,42738.0,6.4,41.0,75.8,25.3,12.99,81.7,13.68
0.8,2151.0,3.67,8.0,64.6,17.1,10.72,34.99,65.08
2.5,11964.0,5.15,40.9,74.4,40.8,10.71,29.1,87.51
0.8,1421.0,4.51,0.6,53.7,17.1,12.28,18.53,89.18
3.0,21941.0,5.91,75.7,75.5,36.2,10.56,21.69,112.24
3.4,26001.0,6.06,70.0,79.7,40.3,10.88,18.68,102.17
3.3,11319.0,5.13,24.0,58.9,23.6,11.42,27.14,42.69
3.3,31786.0,6.29,65.8,82.0,39.1,16.74,11.35,93.23
1.5,8320.0,4.22,3.9,73.2,29.2,10.97,31.03,334.12
3.5,42635.0,7.56,90.0,81.5,39.7,14.1,7.21,23.03
4.2,57220.0,7.78,83.9,82.3,40.5,15.6,12.92,197.96
0.8,6521.0,3.16,20.7,73.9,20.8,14.86,42.66,121.64
3.0,2976.0,4.5,11.6,67.7,19.8,10.63,50.41,54.92
1.8,2069.0,4.01,2.9,60.1,16.4,12.36,28.61,50.93
2.0,13344.0,6.3,22.4,76.1,34.5,11.72,31.57,133.63
0.8,1191.0,2.94,3.0,57.3,17.9,12.19,30.52,120.83
2.4,30236.0,6.17,48.5,72.7,30.3,13.68,28.7,274.91
0.8,10722.0,4.46,36.8,75.4,27.8,15.16,35.55,70.13
0.8,16528.0,5.31,39.8,75.1,27.1,13.99,43.82,95.1
3.6,14397.0,5.46,3.0,68.3,23.1,10.08,24.85,11.21
1.3,1831.0,4.31,4.3,57.1,14.0,14.8,44.76,161.29
3.3,9601.0,5.03,23.3,70.6,38.3,11.65,23.52,78.85
1.4,60112.0,7.22,68.0,78.3,26.3,11.72,38.98,119.43
5.2,34754.0,6.88,85.0,80.4,38.5,13.61,12.3,259.41
5.5,49267.0,7.03,71.7,78.8,36.1,15.85,9.36,34.02
3.1,16416.0,6.45,46.4,76.9,33.0,12.96,11.03,19.16
2.6,7003.0,6.02,15.9,69.2,23.5,10.27,32.08,64.94
2.1,17106.0,7.07,37.4,72.9,24.8,12.88,21.68,32.55
1.8,4572.0,5.53,30.6,73.5,27.7,9.14,39.37,278.89
0.7,4812.0,4.06,12.4,67.3,16.5,15.3,45.98,46.87
1.9,3032.0,5.01,3.0,56.8,15.5,11.78,28.84,18.55
2.4,1402.0,4.96,6.4,50.7,17.1,10.71,23.23,33.19
1.0,1792.0,3.57,5.0,61.4,14.7,16.79,66.84,44.84
2.2,9484.0,4.55,47.0,78.1,32.8,10.84,22.77,105.86
0.9,13204.0,6.35,14.9,74.1,25.4,13.93,33.83,15.34
1.4,8016.0,3.94,4.7,57.6,16.0,13.18,33.1,19.46
2.9,20003.0,6.58,51.0,76.1,29.1,12.61,17.38,15.17
2.6,8465.0,4.28,32.0,73.3,31.4,10.66,38.61,102.88
4.2,46132.0,7.36,79.5,82.1,36.2,17.55,11.05,2.91
4.1,41446.0,7.5,78.7,80.8,41.2,14.32,15.57,101.69
3.1,16176.0,5.48,50.0,70.0,27.5,9.85,23.63,113.24
0.9,36372.0,6.69,77.0,78.9,29.1,14.09,63.73,1544.06
1.5,2772.0,4.66,4.5,68.8,22.6,11.78,70.21,1153.96
3.7,17918.0,5.88,39.6,71.5,38.3,11.85,22.91,47.82
3.6,38130.0,7.1,81.6,80.4,40.1,13.68,15.7,361.81
0.9,1836.0,3.48,4.1,58.5,16.9,11.65,32.58,86.26
1.9,5331.0,5.77,30.0,66.5,21.5,14.51,27.9,9.6
2.4,8961.0,5.12,43.9,77.0,37.9,10.89,34.19,73.11
2.6,13376.0,4.13,9.0,60.5,21.3,11.34,24.59,3.77
4.2,14831.0,7.14,45.7,73.3,28.6,16.73,15.91,23.71
2.6,15112.0,3.99,48.0,74.2,41.3,10.53,24.3,69.48
0.8,1344.0,3.33,3.0,57.1,15.9,11.63,37.28,60.68
1.7,719.0,2.9,1.1,57.8,16.3,12.86,38.24,368.21
1.2,2496.0,3.67,3.1,68.4,22.5,12.37,30.92,82.56
1.0,2494.0,4.27,5.0,57.1,16.8,11.66,58.08,43.26
4.4,42197.0,7.59,83.0,81.5,38.9,13.4,8.62,3.83
1.5,909.0,3.68,2.2,49.9,15.5,14.23,51.23,7.6
0.8,1661.0,3.51,1.9,50.0,14.6,12.57,55.2,9.78
4.0,19705.0,6.74,52.2,79.1,32.0,14.14,27.25,23.1
1.8,10221.0,5.24,38.3,75.9,34.5,10.69,70.54,144.55
3.0,11788.0,6.61,40.4,75.3,26.8,10.8,21.37,40.84
1.6,1479.0,3.96,5.5,61.5,17.7,11.7,21.02,360.07
1.6,5875.0,3.95,5.6,62.0,18.6,12.93,44.16,13.42
