alcoholdrug,gdp,happiness,internet,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity
4.9,48333.0,7.02,76.9,80.8,34.2,16.11,9.52,66.26
1.8,29517.0,7.4,70.8,81.7,28.6,13.61,23.04,350.84
2.8,34068.0,6.03,55.8,82.3,43.2,13.83,18.11,203.54
2.2,7053.0,5.31,33.8,73.4,26.4,13.26,15.46,254.83
1.4,35580.0,5.92,79.5,83.2,44.8,9.8,13.13,350.76
0.8,11523.0,5.33,37.0,74.4,20.8,14.19,33.02,81.22
4.6,22089.0,5.97,61.9,69.1,28.2,10.0,14.48,6.34
1.0,2765.0,4.9,10.5,61.1,17.3,12.12,29.37,76.83
0.9,78801.0,6.18,70.4,78.8,30.3,12.89,64.07,190.5
3.7,4104.0,5.25,19.8,69.0,22.8,10.8,25.49,29.36
1.3,4670.0,4.88,10.7,65.4,21.0,11.75,30.3,28.2
3.5,19405.0,5.73,73.1,73.7,41.0,11.73,15.6,33.0
1.1,16315.0,5.23,61.2,78.6,27.8,16.27,30.11,506.19
2.8,2456.0,3.81,10.0,47.8,20.4,12.79,31.21,67.68
0.9,853.0,4.57,2.6,59.9,17.6,12.67,16.29,44.97
1.3,29766.0,5.62,15.2,72.2,24.5,14.29,44.91,3.34
3.0,21303.0,6.13,67.2,74.2,40.9,12.53,13.78,48.92
3.8,52562.0,6.89,91.9,81.0,38.1,13.56,11.78,206.1
1.6,1351.0,3.68,2.3,63.5,17.3,12.69,22.72,39.47
1.8,1085.0,4.56,4.4,58.7,15.5,12.13,25.74,165.27
1.1,20134.0,5.96,65.8,74.9,26.0,11.46,19.18,90.28
0.7,1448.0,3.97,2.8,57.1,15.0,10.3,34.7,13.53
2.8,24301.0,6.45,68.2,81.4,39.4,14.21,15.4,1343.47
0.8,3213.0,4.48,5.0,63.6,16.8,10.23,42.34,3.53
1.9,16893.0,5.65,35.4,74.4,32.6,11.68,15.25,634.85
1.9,15639.0,6.68,39.8,74.6,25.5,11.57,25.98,59.55
2.7,4905.0,5.92,43.4,69.1,33.9,12.17,18.41,106.65
4.7,10493.0,4.82,16.4,68.1,25.0,10.64,42.65,1.79
2.6,15421.0,5.28,56.8,76.3,35.7,10.88,24.68,47.07
0.9,7365.0,5.16,55.4,71.7,25.6,15.18,27.79,74.73
1.9,967.0,4.55,5.0,55.6,16.0,13.18,22.87,31.14
1.3,4124.0,4.79,1.4,64.1,26.4,10.81,42.52,76.94
2.9,8483.0,4.57,12.9,57.6,19.8,10.67,26.8,2.63
1.6,2258.0,4.98,11.1,67.5,20.7,13.7,96.96,190.66
2.6,43957.0,7.32,92.9,81.0,40.4,14.86,13.81,498.52
4.5,32674.0,7.31,81.6,81.2,36.3,17.08,6.84,16.75
3.2,4376.0,6.28,13.5,72.6,21.5,12.57,22.35,50.11
0.7,864.0,4.18,1.0,59.6,14.4,11.41,72.54,14.17
0.8,5223.0,4.93,16.1,51.5,16.7,10.91,56.13,186.74
2.3,11242.0,5.2,57.4,75.1,35.1,10.64,34.66,83.25
2.6,81759.0,7.44,94.6,81.4,37.9,14.71,7.93,13.78
0.8,44008.0,6.85,60.0,77.1,26.2,13.07,40.73,11.42
1.9,4569.0,5.44,8.1,64.8,19.1,12.36,62.38,262.31
2.3,18051.0,6.63,40.3,76.8,26.5,11.43,13.97,50.62
3.3,7193.0,5.12,29.3,72.5,22.7,14.91,13.95,14.91
1.8,10533.0,5.87,38.2,74.5,25.7,13.12,30.49,23.24
1.3,6144.0,5.31,30.8,70.9,22.3,11.64,22.55,328.78
4.0,22188.0,5.75,62.3,76.7,37.6,9.7,24.26,126.17
4.0,24218.0,5.13,60.3,80.5,41.4,17.0,9.48,114.86
0.9,153922.0,6.37,69.3,79.2,29.9,12.73,89.25,165.85
2.5,17174.0,5.73,45.9,74.4,39.0,10.41,16.32,87.52
4.5,23931.0,6.04,66.0,70.8,37.2,10.53,18.3,8.77
3.5,1531.0,3.6,8.0,64.0,17.8,12.8,44.56,439.41
0.8,49867.0,6.28,54.0,76.5,26.5,13.02,85.51,14.34
0.8,2163.0,4.39,10.8,65.5,17.1,10.75,36.17,68.73
2.5,12384.0,5.11,48.1,75.1,41.2,10.69,28.58,86.8
0.8,1665.0,4.5,2.5,55.5,17.3,12.23,20.1,94.05
3.1,22816.0,6.14,76.7,76.2,37.0,10.52,19.76,112.51
3.4,25252.0,5.68,68.3,80.1,40.8,10.83,17.67,102.77
3.2,11992.0,4.83,41.0,61.8,24.2,11.46,26.58,43.81
3.3,30699.0,6.46,69.8,82.2,40.0,16.86,11.15,93.6
1.5,9678.0,4.27,10.5,73.9,29.8,10.94,30.08,339.75
3.6,41650.0,7.24,93.2,81.7,39.8,14.09,6.63,23.46
4.2,58674.0,7.49,85.2,82.6,40.9,15.58,12.26,202.34
0.8,4829.0,3.46,24.3,66.8,20.9,14.96,41.02,123.1
2.9,3285.0,4.9,14.5,68.5,20.2,10.58,48.99,57.33
1.8,2275.0,3.48,4.0,62.0,16.3,12.34,29.97,53.95
2.0,14227.0,6.99,26.5,76.8,35.3,11.63,31.53,135.37
0.8,1263.0,2.84,4.0,58.1,18.0,12.18,31.37,127.35
2.4,30157.0,6.17,57.5,73.7,31.2,13.71,27.94,278.83
0.8,10739.0,4.76,41.4,75.5,28.5,15.16,32.82,71.93
0.8,18170.0,5.58,45.1,75.7,27.8,13.94,41.92,97.81
3.4,18135.0,5.79,7.2,68.7,23.6,10.02,23.8,11.62
1.3,1877.0,3.77,4.8,58.8,14.2,14.6,49.63,170.92
3.4,10383.0,4.3,35.3,71.6,38.6,11.57,22.33,78.37
1.4,68255.0,6.54,85.0,78.7,27.5,11.76,39.28,122.01
5.3,35185.0,6.76,87.5,80.9,38.7,13.73,11.81,263.75
5.6,50394.0,7.15,74.7,78.9,36.3,15.59,9.0,34.62
3.1,17876.0,6.56,54.5,77.1,33.5,13.01,10.57,19.26
2.4,7928.0,6.05,23.6,69.9,24.2,10.19,31.66,66.95
2.1,18549.0,6.14,49.1,73.0,25.3,12.89,21.25,33.41
1.8,4984.0,5.08,36.8,73.7,28.5,9.15,37.23,284.92
0.7,4077.0,3.97,17.4,67.3,17.0,15.31,51.43,49.67
1.9,3350.0,4.35,4.1,58.9,15.6,11.8,29.74,19.83
2.3,1604.0,4.18,12.0,55.6,17.0,10.71,23.2,34.29
1.0,2025.0,3.98,5.9,62.4,15.2,16.65,61.37,48.36
2.2,9660.0,4.61,51.8,78.1,33.8,10.84,19.94,105.37
0.9,13494.0,5.34,22.5,74.6,26.0,13.94,34.25,15.95
1.4,8508.0,3.79,13.0,59.3,16.0,13.14,34.66,20.97
2.9,19873.0,6.7,59.9,76.5,29.5,12.62,15.6,15.49
2.5,9385.0,4.35,41.9,73.7,31.8,10.66,34.94,101.91
4.2,47250.0,7.31,83.5,82.6,36.2,17.48,9.99,3.0
4.0,41375.0,7.08,80.6,81.1,41.8,14.36,14.08,102.76
3.0,17133.0,5.15,73.0,70.9,28.1,9.81,22.28,116.33
0.9,38493.0,6.01,90.0,79.2,29.6,14.03,67.79,1607.24
1.4,3057.0,4.63,6.6,69.6,23.3,11.67,65.65,1183.3
3.7,18464.0,5.72,54.2,73.0,38.5,11.77,20.59,47.74
3.6,37737.0,6.9,82.2,80.5,40.3,13.67,14.02,366.69
0.9,1939.0,3.62,4.9,59.0,17.1,11.65,31.44,91.42
1.9,5789.0,5.83,37.0,67.0,22.0,14.51,26.09,9.92
2.5,9093.0,5.12,48.5,76.3,38.8,10.83,30.45,70.66
2.6,14853.0,3.76,30.0,62.0,21.7,11.34,24.87,3.91
4.2,15306.0,6.55,51.0,73.9,29.5,16.23,14.61,24.13
2.6,15420.0,4.87,53.1,74.8,42.0,10.47,21.0,68.45
0.8,1422.0,4.42,5.0,57.8,15.9,11.71,33.29,64.46
1.7,738.0,2.9,1.3,59.2,16.1,12.81,39.97,395.23
1.2,2782.0,4.16,6.0,69.3,23.3,12.27,30.34,84.97
1.0,2612.0,5.04,10.0,58.5,16.9,11.64,58.19,45.76
4.5,42994.0,7.41,85.8,81.8,39.3,13.48,7.79,3.91
1.4,567.0,2.69,2.5,50.9,15.0,14.31,50.87,7.71
0.8,1888.0,4.32,2.5,50.8,14.7,12.49,53.06,10.5
3.9,21135.0,6.53,58.0,79.3,32.6,14.1,23.94,23.55
1.8,11328.0,5.3,45.8,76.5,35.1,10.59,65.51,146.58
3.0,12568.0,6.39,51.7,75.8,27.7,10.75,19.22,41.67
1.6,1619.0,3.97,6.5,62.2,18.1,11.72,21.05,375.82
1.6,6031.0,4.69,6.6,62.7,18.4,12.84,46.13,14.14
2.5,12916.0,6.85,46.0,79.4,29.3,12.19,18.34,93.84
0.9,2823.0,4.45,6.6,56.7,16.7,10.99,21.31,70.66
3.2,19298.0,5.21,66.7,77.8,41.6,10.84,19.59,77.0
2.3,24519.0,5.44,65.5,80.4,34.0,14.4,18.68,126.3
3.7,26338.0,6.61,74.1,78.2,39.6,10.37,18.0,136.2
1.3,751.0,3.9,2.2,57.8,15.7,13.69,44.5,32.4
4.2,43733.0,7.51,94.6,80.3,40.2,12.72,10.82,140.63
1.8,2724.0,4.37,12.7,61.2,21.6,11.61,40.1,41.92
2.0,12251.0,5.06,45.9,72.7,24.7,14.38,15.4,210.25
1.8,10760.0,5.96,40.3,76.4,24.7,13.83,18.12,63.31
0.7,10775.0,4.76,29.4,70.1,22.9,13.95,76.21,93.8
4.1,7845.0,6.02,23.1,71.8,23.4,12.6,30.76,298.53
3.6,23436.0,5.63,80.0,77.1,40.1,11.37,7.48,30.83
3.0,7805.0,4.21,24.7,51.5,19.2,11.52,18.31,65.02
2.9,1365.0,4.57,4.6,62.4,16.7,12.43,35.88,86.02
3.5,37246.0,7.45,91.5,80.9,41.4,13.75,6.28,17.89
3.4,36632.0,6.36,81.9,82.0,39.9,15.19,13.59,115.67
1.6,17532.0,4.66,30.5,64.8,20.8,12.86,40.73,7.38
0.8,1767.0,4.12,14.0,62.1,16.0,12.66,29.8,209.97
2.6,9829.0,4.12,43.3,72.6,35.7,10.44,23.91,54.48
3.2,43413.0,7.04,84.2,80.5,44.2,13.81,13.19,233.78
1.0,3683.0,3.99,15.0,62.4,19.6,11.22,27.82,120.97
2.4,22118.0,5.62,59.9,81.0,41.6,15.55,17.78,84.67
3.9,6829.0,6.46,19.7,71.7,19.6,12.75,30.06,143.92
0.7,1421.0,3.5,4.5,57.8,16.6,11.74,21.26,44.99
2.2,1722.0,3.57,10.6,62.6,21.1,14.76,16.77,372.32
2.9,4561.0,4.85,17.8,72.0,20.6,12.21,27.68,80.08
3.1,21126.0,5.34,72.6,75.7,40.2,10.56,17.23,108.42
3.2,38258.0,7.5,96.5,81.9,34.6,13.27,7.17,3.21
1.7,5172.0,4.34,12.3,68.5,24.9,13.64,91.8,434.26
0.9,9703.0,5.04,14.9,69.3,27.5,10.3,16.88,134.9
1.1,16248.0,4.75,30.0,74.4,28.0,18.43,38.1,48.36
0.8,13158.0,4.49,9.2,68.3,18.3,14.19,63.8,81.73
4.8,48743.0,6.83,78.2,81.0,34.6,16.09,9.36,66.61
1.7,30257.0,7.08,70.3,82.1,28.7,13.52,22.95,357.06
2.7,33094.0,5.85,58.5,82.7,43.6,13.88,17.76,203.95
2.2,7017.0,5.31,37.1,73.4,26.8,13.3,14.93,256.06
1.4,36354.0,5.88,88.2,83.4,45.1,9.77,13.36,350.29
0.8,11488.0,5.4,41.4,74.6,21.0,14.17,33.42,86.66
4.5,23131.0,5.95,63.3,69.8,28.3,9.99,14.6,6.43
1.0,2854.0,4.36,13.0,61.4,17.5,12.07,28.94,78.7
0.9,75256.0,6.15,75.5,79.2,31.3,12.94,62.61,204.63
3.6,4509.0,4.91,23.0,69.2,22.9,10.77,25.44,29.82
1.3,4961.0,4.62,12.5,65.7,21.3,11.73,30.26,28.6
3.5,20129.0,5.88,75.2,74.2,41.4,11.72,14.88,32.64
1.1,15055.0,5.17,70.5,78.8,28.2,16.24,30.59,555.12
2.8,2559.0,3.81,15.0,49.0,20.6,12.8,32.15,68.31
0.9,900.0,2.7,3.2,59.9,17.5,12.65,15.38,45.96
1.3,13326.0,5.62,16.5,72.3,24.7,14.36,49.28,3.4
3.0,22274.0,5.71,68.5,74.3,41.3,12.48,12.98,48.36
3.8,53411.0,6.7,93.8,81.4,38.1,13.56,11.61,210.94
1.6,1345.0,3.59,3.0,64.0,17.5,12.69,23.91,40.54
1.8,1104.0,3.87,5.1,59.7,15.6,12.14,24.68,169.97
1.1,20760.0,6.32,57.1,75.0,26.4,11.49,17.55,91.72
0.7,1443.0,4.58,3.5,57.4,14.9,10.32,32.31,13.94
2.8,25162.0,6.61,68.9,82.0,39.4,14.24,15.28,1367.28
0.8,3319.0,3.92,6.2,63.9,16.8,10.25,40.22,3.63
1.9,17311.0,5.61,40.1,74.7,33.1,11.6,15.56,635.81
1.9,15680.0,6.24,43.5,74.7,25.9,11.53,25.45,60.34
2.7,5421.0,6.02,60.0,69.1,34.2,12.14,17.43,103.89
4.6,11545.0,4.98,17.7,68.6,25.3,10.6,42.32,1.83
2.6,16064.0,5.12,60.3,76.6,36.0,10.86,23.27,47.13
0.9,7619.0,5.16,56.0,72.1,25.9,15.15,29.26,75.74
1.9,1011.0,4.55,5.5,56.5,16.0,13.16,22.64,32.11
1.3,4424.0,4.22,1.8,64.8,26.7,10.76,42.88,77.6
2.9,8793.0,4.57,13.9,58.7,20.0,10.7,27.09,2.68
1.6,2316.0,4.81,13.3,68.0,20.9,13.57,95.31,191.01
2.7,43744.0,7.32,94.0,81.3,40.7,15.01,13.04,500.96
4.8,32989.0,7.42,82.8,81.7,36.5,17.11,6.78,16.9
3.2,4527.0,5.92,15.5,72.7,21.9,12.57,21.93,50.85
0.7,880.0,3.67,1.1,60.2,14.4,11.42,63.03,14.73
0.8,5370.0,4.93,19.1,51.7,16.7,10.76,49.74,191.84
2.3,11544.0,4.98,65.2,75.9,35.5,10.62,32.02,83.36
2.7,81583.0,7.6,95.1,81.7,38.0,14.72,7.63,13.95
0.8,41680.0,6.85,66.4,77.2,27.0,13.08,41.05,12.33
1.9,4703.0,4.82,9.0,65.1,19.2,12.38,61.02,266.37
2.3,18979.0,6.61,44.0,77.0,26.7,11.45,13.4,51.52
3.3,8102.0,5.56,36.9,72.8,23.1,14.95,12.93,15.12
1.8,11034.0,5.58,39.2,75.0,26.1,13.13,29.74,23.47
1.3,6472.0,5.55,32.7,70.8,22.5,11.61,21.22,334.37
4.1,22510.0,6.01,62.8,77.0,37.9,9.69,22.93,126.11
4.0,24076.0,5.08,62.1,80.8,41.9,16.84,9.43,114.23
0.9,154159.0,6.37,85.3,79.5,29.9,12.74,88.89,177.15
2.5,17979.0,5.78,49.8,75.0,39.3,10.42,15.37,87.22
4.4,24224.0,6.0,68.0,71.3,37.4,10.54,17.8,8.79
3.5,1554.0,3.48,9.0,64.4,17.9,12.77,44.41,449.99
0.9,50005.0,6.35,60.5,76.6,27.1,13.03,83.63,14.65
0.8,2185.0,4.62,13.1,66.1,17.1,10.77,34.02,70.62
2.5,12764.0,5.32,53.5,75.6,41.3,10.67,27.43,86.52
0.8,1965.0,4.91,4.0,56.3,17.4,12.21,18.44,96.49
3.1,23132.0,6.16,77.9,76.5,37.4,10.5,19.32,112.62
3.5,24944.0,5.74,72.7,80.3,41.1,10.8,17.57,102.92
3.1,12171.0,4.89,46.5,62.5,24.6,11.49,26.73,44.41
3.4,30280.0,6.38,71.6,82.7,40.5,16.9,10.74,93.29
1.5,9928.0,4.61,10.5,74.2,30.1,10.93,28.9,341.61
3.7,41811.0,7.29,94.8,81.9,39.8,14.08,6.43,23.69
4.2,59036.0,7.57,86.3,82.7,41.0,15.56,11.82,204.69
0.8,4124.0,3.46,26.2,63.8,20.2,15.05,41.91,117.06
2.8,3471.0,5.12,16.0,68.9,20.4,10.57,49.55,58.63
1.8,2372.0,3.66,4.4,63.0,16.3,12.32,29.36,55.6
2.0,14562.0,6.2,28.9,77.1,35.7,11.58,31.17,136.19
0.8,1292.0,3.77,4.5,58.7,18.0,12.17,29.57,130.65
2.4,30987.0,6.19,59.9,74.0,31.7,13.74,27.16,280.84
0.8,10898.0,5.13,43.8,75.7,28.9,15.16,35.65,72.74
0.8,18788.0,5.51,46.3,76.3,28.2,13.93,42.06,99.5
3.3,19751.0,5.79,9.6,68.7,23.9,9.99,23.72,11.83
1.3,1889.0,4.24,5.1,59.8,14.3,14.5,47.72,175.91
3.5,10404.0,3.96,41.0,71.9,38.8,11.52,21.53,78.2
1.4,70791.0,6.57,88.0,78.9,28.1,11.8,39.61,123.23
5.4,35618.0,6.52,89.8,80.9,38.8,13.82,11.62,265.79
5.7,50863.0,6.86,71.4,79.0,36.4,15.41,8.73,34.91
3.1,18589.0,6.63,57.7,77.2,33.7,13.06,10.46,19.32
2.3,8482.0,5.97,26.8,70.0,24.5,10.16,30.81,68.0
2.0,21429.0,5.57,54.9,73.2,25.6,12.9,20.43,33.83
1.8,5200.0,5.08,38.5,73.8,28.9,9.18,36.84,288.0
0.7,4165.0,2.98,20.0,67.5,17.2,15.33,53.0,51.11
1.9,3419.0,4.84,4.8,59.9,15.7,11.83,29.11,20.49
2.3,1604.0,3.7,15.5,57.5,16.9,10.72,23.11,35.04
1.0,2022.0,4.22,7.0,62.5,15.5,16.6,59.01,50.16
2.2,9808.0,4.51,54.3,78.4,34.3,10.84,18.88,105.26
0.9,13744.0,5.34,29.5,75.1,26.3,13.94,35.56,16.27
1.4,8673.0,3.79,21.4,60.0,16.0,13.13,32.97,21.76
2.9,19183.0,6.43,64.7,76.8,29.7,12.63,14.47,15.65
2.5,9735.0,4.33,54.6,74.1,32.0,10.66,33.09,101.51
4.2,47867.0,7.25,84.0,82.6,36.3,17.45,9.49,3.05
3.9,41338.0,7.05,81.0,81.4,41.9,14.37,13.38,103.56
3.0,17439.0,5.3,75.0,71.1,28.4,9.8,20.71,117.87
0.9,39799.0,6.17,90.5,79.3,29.8,14.01,62.76,1670.24
1.4,3217.0,4.56,11.9,70.0,23.6,11.63,68.4,1198.14
3.8,18822.0,5.18,59.0,73.6,38.7,11.75,19.77,47.76
3.6,38228.0,6.95,85.0,81.1,40.4,13.66,13.23,369.11
0.9,2008.0,4.01,6.0,59.1,17.1,11.65,29.66,94.14
1.9,6007.0,5.77,34.6,67.2,22.2,14.51,24.82,10.08
2.5,9201.0,5.18,49.9,75.7,39.1,10.8,28.78,69.75
2.6,15082.0,3.5,36.7,62.6,22.0,11.35,24.15,3.99
4.3,15258.0,6.37,54.6,74.3,29.9,16.0,13.99,24.34
2.6,15711.0,4.84,55.5,74.5,42.3,10.45,20.74,67.91
0.8,1437.0,4.21,6.0,58.4,16.0,11.74,33.97,66.41
1.7,748.0,3.78,1.4,59.9,16.0,12.8,39.39,408.68
1.2,2930.0,4.46,14.0,69.7,23.7,12.22,28.58,86.17
1.0,2696.0,4.82,16.2,58.9,17.0,11.63,56.72,47.17
4.5,43607.0,7.24,87.1,81.9,39.5,13.51,7.43,3.95
1.4,561.0,2.69,2.7,50.6,14.7,14.36,49.36,7.7
0.8,2279.0,4.03,2.9,51.2,14.7,12.45,51.25,10.88
3.9,21335.0,6.58,61.1,79.5,33.0,14.08,22.87,23.79
1.8,11944.0,5.32,47.9,76.7,35.3,10.55,59.77,147.55
3.0,12972.0,6.23,52.6,76.0,28.1,10.75,18.34,42.07
1.6,1647.0,3.97,7.0,62.5,18.4,11.73,21.5,384.0
1.6,6321.0,4.12,7.1,63.0,18.2,12.8,45.85,14.48
2.5,13222.0,7.14,53.0,78.8,29.7,12.21,17.54,94.87
0.9,3011.0,4.54,10.0,57.2,16.7,11.01,20.9,72.31
3.2,19284.0,5.42,68.6,78.0,41.9,10.85,18.43,76.55
2.3,24411.0,5.79,69.3,80.8,34.5,14.42,18.29,127.38
3.7,27024.0,6.74,74.2,78.8,40.0,10.35,17.39,136.24
1.3,802.0,4.52,3.0,58.3,15.7,13.64,42.55,33.54
4.2,44241.0,7.56,96.0,80.6,40.4,12.72,11.07,141.27
1.7,2823.0,4.37,17.0,61.6,21.9,11.6,41.26,42.67
1.9,13017.0,5.24,49.6,72.9,25.0,14.36,14.19,212.84
1.8,11036.0,6.12,45.6,76.6,25.1,13.84,16.23,64.25
0.7,11016.0,4.56,33.9,70.4,23.1,13.97,76.56,96.03
4.0,7935.0,6.14,24.8,71.7,23.7,12.6,27.5,299.69
3.7,24146.0,5.65,84.2,77.1,40.4,11.33,7.71,30.75
3.0,7927.0,4.21,25.0,53.0,19.5,11.52,17.98,65.46
2.9,1459.0,4.3,7.7,62.9,17.0,12.36,35.04,88.38
3.5,36858.0,7.66,86.5,81.0,41.4,13.68,6.47,17.97
3.4,36527.0,6.48,83.8,82.5,40.2,15.14,12.29,116.13
1.6,18053.0,4.83,38.1,65.0,21.0,12.86,41.32,7.63
0.8,1743.0,4.12,15.6,62.3,16.0,12.67,30.62,216.31
2.6,10297.0,4.45,44.0,73.1,35.9,10.43,22.97,54.31
3.1,43922.0,6.87,86.2,80.9,44.5,13.81,12.75,234.29
1.0,3747.0,4.51,19.0,63.0,19.6,11.21,25.89,123.92
2.4,22344.0,5.3,63.2,81.0,42.0,15.4,17.37,84.27
3.9,6981.0,6.36,23.4,72.0,19.9,12.71,26.53,146.64
0.8,1399.0,3.6,6.4,57.9,16.7,11.73,21.2,46.12
2.2,1749.0,3.35,11.4,63.0,21.4,14.78,16.26,377.82
2.9,4620.0,5.65,23.0,72.3,20.9,12.22,23.16,81.58
3.1,22040.0,5.45,75.7,75.8,40.5,10.55,16.32,108.13
3.3,38563.0,7.51,98.2,82.6,34.7,13.29,6.95,3.25
1.7,5458.0,4.18,13.5,69.1,25.2,13.63,89.62,439.68
0.9,10090.0,5.14,17.1,69.5,27.8,10.28,16.45,136.47
1.1,16493.0,4.65,39.3,74.8,28.5,18.46,38.11,49.28
0.8,12817.0,4.41,13.2,68.9,18.4,14.31,56.57,84.64
4.8,52651.0,7.04,83.5,81.3,35.0,16.07,8.75,67.09
1.7,30686.0,7.16,75.0,82.2,28.8,13.44,22.06,363.39
2.6,32829.0,5.95,55.6,82.9,44.0,13.92,17.77,203.99
2.1,7005.0,5.89,40.4,73.0,27.3,13.33,14.07,257.11
1.4,36537.0,5.95,89.1,83.7,45.5,9.74,12.59,349.73
0.8,11523.0,5.27,46.2,74.8,21.1,14.16,33.21,97.51
4.4,23841.0,5.53,66.0,70.3,28.5,9.99,13.75,6.52
1.0,2942.0,4.4,16.5,61.8,17.7,12.04,28.95,80.53
0.9,72508.0,5.95,78.7,79.4,32.1,12.98,55.62,211.09
3.5,4644.0,4.86,28.3,69.9,23.0,10.74,23.3,30.32
1.3,5251.0,4.62,14.3,66.4,21.7,11.7,28.39,28.99
3.6,20751.0,5.94,75.8,74.4,41.7,11.71,14.88,32.32
1.1,13416.0,5.27,73.0,79.0,28.6,16.23,30.44,613.33
2.8,2644.0,3.81,22.0,50.0,20.8,12.8,33.08,69.01
0.9,884.0,3.35,5.4,59.1,17.5,12.64,14.94,46.92
1.3,9736.0,5.43,17.8,71.5,24.9,14.44,47.5,3.47
3.1,23252.0,5.87,72.1,74.8,41.7,12.43,12.85,47.83
3.7,55102.0,6.97,94.7,81.7,38.2,13.55,10.86,216.0
1.6,1354.0,3.66,3.7,64.3,17.7,12.69,23.52,41.62
1.8,1129.0,3.48,5.8,60.9,15.6,12.14,25.2,174.78
1.1,21683.0,6.32,63.7,75.1,26.8,11.52,16.92,93.16
0.7,1505.0,4.02,7.0,57.9,14.9,10.34,33.92,14.38
2.8,26998.0,6.59,73.2,82.7,39.3,14.25,14.44,1395.15
0.8,3459.0,4.47,11.8,64.2,16.8,10.27,43.11,3.73
1.9,17818.0,5.61,44.8,74.9,33.6,11.53,15.29,636.51
1.9,15856.0,6.82,44.4,74.8,26.3,11.5,23.1,61.09
2.7,5739.0,5.58,67.0,69.0,34.5,12.11,16.73,101.52
4.6,12283.0,5.06,19.9,69.0,25.6,10.56,39.3,1.86
2.6,16437.0,5.3,61.0,76.7,36.2,10.85,21.95,47.16
0.9,7733.0,5.39,56.8,72.5,26.3,15.13,29.95,76.74
1.9,1060.0,4.28,6.0,57.3,16.1,13.15,22.61,33.11
1.3,4728.0,4.62,7.4,65.1,27.0,10.71,40.29,78.25
2.8,9170.0,4.44,14.8,59.8,20.2,10.73,26.02,2.72
1.6,2421.0,5.1,15.4,68.1,21.2,13.47,98.12,191.57
2.7,44205.0,7.54,91.7,81.6,41.0,15.12,12.83,503.54
5.0,33339.0,7.23,84.0,81.8,36.5,17.14,6.36,17.14
3.2,4685.0,6.01,17.6,72.8,22.2,12.56,19.39,51.59
0.7,911.0,4.23,1.2,60.8,14.4,11.43,60.54,15.29
0.8,5569.0,5.22,21.0,51.8,16.7,10.64,48.63,196.95
2.3,11937.0,5.35,68.1,75.9,35.8,10.61,31.79,83.48
2.7,82216.0,7.6,96.3,82.1,38.1,14.73,7.67,14.1
0.8,39418.0,6.85,70.2,77.4,27.4,13.11,37.71,12.95
1.9,4850.0,5.55,10.0,65.3,19.3,12.4,59.52,270.15
2.3,19855.0,6.12,44.9,77.2,27.0,11.46,12.92,52.42
3.3,8382.0,5.8,43.0,72.9,23.4,15.0,12.64,15.33
1.8,11186.0,5.7,40.2,75.3,26.4,13.14,27.58,23.71
1.3,6763.0,5.43,34.7,71.2,22.7,11.58,20.26,339.82
4.1,23266.0,6.16,66.6,77.6,38.3,9.67,22.21,126.03
4.0,24423.0,5.45,64.6,81.2,42.3,16.71,8.78,113.62
0.9,155069.0,6.37,91.5,79.8,30.0,12.74,78.83,192.73
2.5,18515.0,5.97,54.1,74.9,39.6,10.42,15.01,86.91
4.3,24387.0,5.85,70.5,71.6,37.5,10.55,16.58,8.81
3.5,1615.0,3.33,10.6,64.9,18.1,12.74,42.21,460.82
0.9,50693.0,6.47,64.7,76.8,27.7,13.05,75.61,14.94
0.8,2224.0,4.59,17.7,66.5,17.1,10.79,36.83,72.56
2.5,12606.0,5.75,62.1,75.7,41.5,10.67,26.49,86.26
0.8,2007.0,4.73,6.1,56.4,17.5,12.18,17.7,98.93
3.1,23703.0,5.99,80.0,76.8,37.8,10.48,18.3,112.72
3.5,25693.0,5.94,71.6,80.9,41.4,10.78,16.63,103.04
3.0,12242.0,4.77,49.0,63.4,24.9,11.51,26.72,45.12
3.4,30819.0,6.32,76.2,82.9,41.1,16.93,10.07,93.01
1.5,10342.0,4.33,10.5,74.7,30.5,10.92,26.92,343.35
3.8,42476.0,7.37,92.5,82.2,39.8,14.07,6.96,23.93
4.2,59485.0,7.46,87.4,83.1,41.2,15.54,11.39,207.2
0.8,3536.0,3.46,28.1,63.2,19.0,15.14,41.53,109.31
2.8,3633.0,5.1,17.5,69.1,20.5,10.55,46.48,59.99
1.8,2467.0,2.9,7.0,63.9,16.3,12.31,28.87,57.37
2.0,14642.0,6.07,34.9,77.4,36.1,11.54,29.36,136.94
0.8,1334.0,3.88,5.7,58.9,18.1,12.15,28.94,134.0
2.4,30842.0,6.19,62.4,74.2,32.2,13.77,24.86,282.78
0.8,11040.0,4.52,46.2,75.6,29.3,15.17,34.69,73.56
0.8,19277.0,5.33,51.0,76.6,28.5,13.91,42.6,101.49
3.2,21546.0,5.89,12.2,68.6,24.1,9.97,22.08,12.05
1.3,1923.0,4.23,5.4,60.4,14.4,14.43,46.93,181.21
3.5,9818.0,4.03,46.2,72.6,38.9,11.49,20.49,77.92
1.4,72601.0,6.83,90.4,79.0,28.7,11.84,37.98,124.42
5.5,36436.0,6.82,91.6,81.2,38.9,13.89,10.8,267.74
5.7,51664.0,6.8,73.0,79.0,36.5,15.27,8.22,35.2
3.1,19160.0,6.17,61.5,77.4,33.9,13.1,9.93,19.38
